,Name,EMI,Price,Kilometers Driven,Owner,Year of Purchase,Fuel Type,Location,History
196,2011 Honda City,"₹7,296/month","₹3,28,000",-,-,-,-,-,-
197,2011 Hyundai i10,"₹4,776/month","₹2,14,699","66,492 km",1st Owner,August 2011,Petrol,DELHI,Non-Accidental
198,2014 Maruti Swift Dzire,"₹7,385/month","₹3,32,000",-,-,-,-,-,-
199,2019 Maruti Alto,"₹7,318/month","₹3,29,000","10,554 km",1st Owner,-,Petrol,DELHI,Non-Accidental
200,2013 Maruti Swift,"₹7,327/month","₹3,29,399","58,850 km",1st Owner,November 2013,Diesel,DELHI,Non-Accidental
201,2017 Renault Kwid,"₹5,205/month","₹2,34,000",-,-,-,-,-,-
202,2017 Hyundai Grand i10,"₹10,032/month","₹4,50,999","35,013 km",2nd Owner,October 2017,Petrol,DELHI,Non-Accidental
203,2009 Maruti A Star,"₹3,686/month","₹1,65,699","62,155 km",1st Owner,April 2009,Petrol,DELHI,Non-Accidental
204,2017 Maruti Alto 800,"₹6,251/month","₹2,81,000",-,-,-,-,-,-
205,2008 Maruti Wagon R,"₹2,887/month","₹1,29,799","56,724 km",1st Owner,June 2008,Petrol,DELHI,Non-Accidental
206,2013 Ford Ecosport,"₹9,231/month","₹4,15,000",-,-,-,-,-,-
207,2011 Honda City,"₹7,363/month","₹3,31,000",-,-,-,-,-,-
208,2017 Maruti Baleno,"₹12,733/month","₹5,72,399","29,886 km",1st Owner,May 2017,Diesel,DELHI,Non-Accidental
209,2019 Maruti Swift,"₹13,562/month","₹6,09,699","14,959 km",1st Owner,-,Petrol,DELHI,Non-Accidental
210,2010 Honda City,"₹7,857/month","₹3,53,199","62,808 km",1st Owner,November 2010,Petrol,DELHI,Non-Accidental
211,2013 Maruti Alto K10,"₹5,405/month","₹2,43,000",-,-,-,-,-,-
212,2014 Hyundai i10,"₹5,735/month","₹2,57,799","66,464 km",1st Owner,February 2014,Petrol,DELHI,Non-Accidental
213,2019 Hyundai NEW SANTRO,"₹9,812/month","₹4,41,099","8,632 km",1st Owner,January 2019,Petrol,DELHI,Non-Accidental
214,2015 Maruti Swift,"₹9,992/month","₹4,49,199","18,206 km",1st Owner,December 2015,Diesel,DELHI,Non-Accidental
215,2010 Hyundai i10,"₹5,452/month","₹2,45,099","35,644 km",1st Owner,June 2010,Petrol,DELHI,Non-Accidental
216,2018 Maruti Baleno,"₹12,811/month","₹5,75,899","25,937 km",1st Owner,-,Petrol,DELHI,Non-Accidental
217,2016 Maruti Wagon R Stingray,"₹6,762/month","₹3,04,000",-,-,-,-,-,-
218,2017 Hyundai Grand i10,"₹8,580/month","₹3,85,699","35,604 km",3rd Owner,June 2017,Diesel,DELHI,Non-Accidental
219,2020 Maruti New Wagon-R,"₹11,202/month","₹5,03,599","7,242 km",1st Owner,October 2020,Petrol,DELHI,Non-Accidental
220,2011 Hyundai i10,"₹6,389/month","₹2,87,199","42,808 km",1st Owner,April 2011,Petrol,DELHI,Non-Accidental
221,2014 Maruti Ciaz,"₹11,164/month","₹5,01,899","65,421 km",1st Owner,-,Diesel,DELHI,Non-Accidental
222,2013 Honda Amaze,"₹6,874/month","₹3,08,999","56,085 km",2nd Owner,-,Diesel,DELHI,Non-Accidental
223,2018 Maruti Baleno,"₹12,110/month","₹5,44,399","33,770 km",1st Owner,June 2018,Petrol,DELHI,Non-Accidental
224,2009 Honda City,"₹6,188/month","₹2,78,199","43,966 km",2nd Owner,September 2009,Petrol,DELHI,Non-Accidental
